source,publisher,evidence_level,completed_work,next_action
Pathfinder RPG Mythic Adventures,Paizo,Complete full-text index,Official baseline; all 258 pages indexed,Cross-check final character sheet and current mythic selections.
Mythic Hero's Handbook,Legendary Games,Focused extraction,"High-relevance feats, path abilities, leadership, luck and dispel options",Oracle-specific class feature audit and broader path review.
Mythic Spell Compendium,Legendary Games,Focused extraction,"Dispel, control, utility, metamagic, infrastructure, resurrection",Full spell-by-spell Demidius relevance sweep.
Mythic Magic: Core Spells,Legendary Games,Partial comparison,Selected control and infrastructure spells,Complete difference audit against Spell Compendium.
Mythic Minis 10: Universal Path Abilities,Legendary Games,Complete,All six abilities evaluated,No further pass unless rulings change.
Mythic Minis 16: Universal Path Abilities II,Legendary Games,Complete,All eight abilities evaluated,Audit referenced bonus feats and companion ability candidates.
Mythic Minis 51: Metamagic Feats,Legendary Games,Focused extraction,High-relevance metamagic options parsed,Finish all feats and compare with Hero's Handbook versions.
Mythic Minis 8: Trickster Path Abilities,Legendary Games,Complete,All printed abilities reviewed,No further pass unless build changes.
Mythic Minis 2: Champion Path Abilities,Legendary Games,Complete,All printed abilities reviewed,Mostly low priority for Demidius.
Mythic Minis 1: Monster Feats,Legendary Games,Complete,All printed feats reviewed,Cross-reference Companion Mythic Ability.
Mythic Minis 5: Feats of Monstrous Magic,Legendary Games,Complete,All printed feats reviewed,"Cross-reference companions, templates, and SLAs."
Super Genius / Rogue Genius archive,Rogue Genius / Super Genius,Archive-level index,Product lines identified; no full content extraction,"Oracle, luck, dispel, charisma, metamagic micro-supplements first."
